"Modulation #","E0 [eV]"
"1","-33.715784"
"2","-33.931274"
"3","-34.126917"
"4","-34.303724"
"5","-34.462668"
"6","-34.604669"
"7","-34.730596"
"8","-34.841211"
"9","-34.937205"
"10","-35.019187"
"11","-35.087675"
"12","-35.143119"
"13","-35.185866"
"14","-35.216213"
"15","-35.234344"
"16","-35.240375"
"17","-35.234344"
"18","-35.216213"
"19","-35.185866"
"20","-35.143119"
"21","-35.087675"
"22","-35.019187"
"23","-34.937205"
"24","-34.841211"
"25","-34.730596"
"26","-34.604669"
"27","-34.462668"
"28","-34.303724"
"29","-34.126917"
"30","-33.931274"
"31","-33.715784"
"32","-34.045126"
"33","-34.236248"
"34","-34.409511"
"35","-34.565827"
"36","-34.706126"
"37","-34.831276"
"38","-34.942065"
"39","-35.039241"
"40","-35.123462"
"41","-35.195281"
"42","-35.255226"
"43","-35.303707"
"44","-35.34105"
"45","-35.367546"
"46","-35.38337"
"47","-35.388632"
"48","-35.38337"
"49","-35.367546"
"50","-35.34105"
"51","-35.303707"
"52","-35.255226"
"53","-35.195281"
"54","-35.123462"
"55","-35.039241"
"56","-34.942065"
"57","-34.831276"
"58","-34.706126"
"59","-34.565827"
"60","-34.409512"
"61","-34.236248"
"62","-34.045126"
"63","-34.336957"
"64","-34.505757"
"65","-34.658451"
"66","-34.7959"
"67","-34.918998"
"68","-35.028561"
"69","-35.12535"
"70","-35.210064"
"71","-35.283331"
"72","-35.345704"
"73","-35.397677"
"74","-35.439652"
"75","-35.471945"
"76","-35.494834"
"77","-35.508499"
"78","-35.513042"
"79","-35.508499"
"80","-35.494834"
"81","-35.471945"
"82","-35.439652"
"83","-35.397677"
"84","-35.345704"
"85","-35.283331"
"86","-35.210064"
"87","-35.12535"
"88","-35.028561"
"89","-34.918998"
"90","-34.7959"
"91","-34.658452"
"92","-34.505757"
"93","-34.336957"
"94","-34.593649"
"95","-34.742046"
"96","-34.875912"
"97","-34.996056"
"98","-35.103334"
"99","-35.198524"
"100","-35.282365"
"101","-35.35554"
"102","-35.418645"
"103","-35.47224"
"104","-35.516794"
"105","-35.552707"
"106","-35.580285"
"107","-35.599817"
"108","-35.611471"
"109","-35.615342"
"110","-35.611471"
"111","-35.599817"
"112","-35.580285"
"113","-35.552707"
"114","-35.516794"
"115","-35.47224"
"116","-35.418645"
"117","-35.35554"
"118","-35.282365"
"119","-35.198524"
"120","-35.103334"
"121","-34.996056"
"122","-34.875912"
"123","-34.742046"
"124","-34.593649"
"125","-34.817702"
"126","-34.947523"
"127","-35.0642"
"128","-35.168507"
"129","-35.261261"
"130","-35.343238"
"131","-35.415152"
"132","-35.477665"
"133","-35.53138"
"134","-35.576837"
"135","-35.614517"
"136","-35.644795"
"137","-35.667995"
"138","-35.684397"
"139","-35.69416"
"140","-35.697404"
"141","-35.69416"
"142","-35.684397"
"143","-35.667995"
"144","-35.644795"
"145","-35.614517"
"146","-35.576837"
"147","-35.53138"
"148","-35.477665"
"149","-35.415152"
"150","-35.343238"
"151","-35.261261"
"152","-35.168507"
"153","-35.0642"
"154","-34.947523"
"155","-34.817702"
"156","-35.011576"
"157","-35.124572"
"158","-35.225628"
"159","-35.315511"
"160","-35.395021"
"161","-35.464914"
"162","-35.525891"
"163","-35.5786"
"164","-35.62366"
"165","-35.661598"
"166","-35.692899"
"167","-35.71796"
"168","-35.737097"
"169","-35.750591"
"170","-35.758615"
"171","-35.76129"
"172","-35.758615"
"173","-35.750591"
"174","-35.737097"
"175","-35.71796"
"176","-35.692899"
"177","-35.661598"
"178","-35.62366"
"179","-35.5786"
"180","-35.525891"
"181","-35.464914"
"182","-35.395021"
"183","-35.315511"
"184","-35.225628"
"185","-35.124572"
"186","-35.011576"
"187","-35.177793"
"188","-35.275633"
"189","-35.362592"
"190","-35.439422"
"191","-35.506908"
"192","-35.565794"
"193","-35.616787"
"194","-35.660544"
"195","-35.697672"
"196","-35.728718"
"197","-35.754162"
"198","-35.774414"
"199","-35.789795"
"200","-35.800606"
"201","-35.807016"
"202","-35.80914"
"203","-35.807016"
"204","-35.800606"
"205","-35.789795"
"206","-35.774414"
"207","-35.754162"
"208","-35.728718"
"209","-35.697672"
"210","-35.660544"
"211","-35.616787"
"212","-35.565794"
"213","-35.506908"
"214","-35.439422"
"215","-35.362592"
"216","-35.275633"
"217","-35.177793"
"218","-35.318785"
"219","-35.403089"
"220","-35.477431"
"221","-35.542543"
"222","-35.599208"
"223","-35.648175"
"224","-35.690132"
"225","-35.725758"
"226","-35.755676"
"227","-35.780434"
"228","-35.800528"
"229","-35.816388"
"230","-35.828338"
"231","-35.836685"
"232","-35.841621"
"233","-35.843251"
"234","-35.841621"
"235","-35.836685"
"236","-35.828338"
"237","-35.816388"
