"Mode 1","q = (0.000, 0.000, 0.000), band = 1"
"Mode 2","q = (0.000, 0.000, 0.000), band = 2"

"Modulation #","Q_1 [amu^1/2 A]","Q_2 [amu^1/2 A]"
"1","-7.5","-7.5"
"2","-7.5","-7.0"
"3","-7.5","-6.5"
"4","-7.5","-6.0"
"5","-7.5","-5.5"
"6","-7.5","-5.0"
"7","-7.5","-4.5"
"8","-7.5","-4.0"
"9","-7.5","-3.5"
"10","-7.5","-3.0"
"11","-7.5","-2.5"
"12","-7.5","-2.0"
"13","-7.5","-1.5"
"14","-7.5","-1.0"
"15","-7.5","-0.5"
"16","-7.5","0.0"
"17","-7.5","0.5"
"18","-7.5","1.0"
"19","-7.5","1.5"
"20","-7.5","2.0"
"21","-7.5","2.5"
"22","-7.5","3.0"
"23","-7.5","3.5"
"24","-7.5","4.0"
"25","-7.5","4.5"
"26","-7.5","5.0"
"27","-7.5","5.5"
"28","-7.5","6.0"
"29","-7.5","6.5"
"30","-7.5","7.0"
"31","-7.5","7.5"
"32","-7.0","-7.5"
"33","-7.0","-7.0"
"34","-7.0","-6.5"
"35","-7.0","-6.0"
"36","-7.0","-5.5"
"37","-7.0","-5.0"
"38","-7.0","-4.5"
"39","-7.0","-4.0"
"40","-7.0","-3.5"
"41","-7.0","-3.0"
"42","-7.0","-2.5"
"43","-7.0","-2.0"
"44","-7.0","-1.5"
"45","-7.0","-1.0"
"46","-7.0","-0.5"
"47","-7.0","0.0"
"48","-7.0","0.5"
"49","-7.0","1.0"
"50","-7.0","1.5"
"51","-7.0","2.0"
"52","-7.0","2.5"
"53","-7.0","3.0"
"54","-7.0","3.5"
"55","-7.0","4.0"
"56","-7.0","4.5"
"57","-7.0","5.0"
"58","-7.0","5.5"
"59","-7.0","6.0"
"60","-7.0","6.5"
"61","-7.0","7.0"
"62","-7.0","7.5"
"63","-6.5","-7.5"
"64","-6.5","-7.0"
"65","-6.5","-6.5"
"66","-6.5","-6.0"
"67","-6.5","-5.5"
"68","-6.5","-5.0"
"69","-6.5","-4.5"
"70","-6.5","-4.0"
"71","-6.5","-3.5"
"72","-6.5","-3.0"
"73","-6.5","-2.5"
"74","-6.5","-2.0"
"75","-6.5","-1.5"
"76","-6.5","-1.0"
"77","-6.5","-0.5"
"78","-6.5","0.0"
"79","-6.5","0.5"
"80","-6.5","1.0"
"81","-6.5","1.5"
"82","-6.5","2.0"
"83","-6.5","2.5"
"84","-6.5","3.0"
"85","-6.5","3.5"
"86","-6.5","4.0"
"87","-6.5","4.5"
"88","-6.5","5.0"
"89","-6.5","5.5"
"90","-6.5","6.0"
"91","-6.5","6.5"
"92","-6.5","7.0"
"93","-6.5","7.5"
"94","-6.0","-7.5"
"95","-6.0","-7.0"
"96","-6.0","-6.5"
"97","-6.0","-6.0"
"98","-6.0","-5.5"
"99","-6.0","-5.0"
"100","-6.0","-4.5"
"101","-6.0","-4.0"
"102","-6.0","-3.5"
"103","-6.0","-3.0"
"104","-6.0","-2.5"
"105","-6.0","-2.0"
"106","-6.0","-1.5"
"107","-6.0","-1.0"
"108","-6.0","-0.5"
"109","-6.0","0.0"
"110","-6.0","0.5"
"111","-6.0","1.0"
"112","-6.0","1.5"
"113","-6.0","2.0"
"114","-6.0","2.5"
"115","-6.0","3.0"
"116","-6.0","3.5"
"117","-6.0","4.0"
"118","-6.0","4.5"
"119","-6.0","5.0"
"120","-6.0","5.5"
"121","-6.0","6.0"
"122","-6.0","6.5"
"123","-6.0","7.0"
"124","-6.0","7.5"
"125","-5.5","-7.5"
"126","-5.5","-7.0"
"127","-5.5","-6.5"
"128","-5.5","-6.0"
"129","-5.5","-5.5"
"130","-5.5","-5.0"
"131","-5.5","-4.5"
"132","-5.5","-4.0"
"133","-5.5","-3.5"
"134","-5.5","-3.0"
"135","-5.5","-2.5"
"136","-5.5","-2.0"
"137","-5.5","-1.5"
"138","-5.5","-1.0"
"139","-5.5","-0.5"
"140","-5.5","0.0"
"141","-5.5","0.5"
"142","-5.5","1.0"
"143","-5.5","1.5"
"144","-5.5","2.0"
"145","-5.5","2.5"
"146","-5.5","3.0"
"147","-5.5","3.5"
"148","-5.5","4.0"
"149","-5.5","4.5"
"150","-5.5","5.0"
"151","-5.5","5.5"
"152","-5.5","6.0"
"153","-5.5","6.5"
"154","-5.5","7.0"
"155","-5.5","7.5"
"156","-5.0","-7.5"
"157","-5.0","-7.0"
"158","-5.0","-6.5"
"159","-5.0","-6.0"
"160","-5.0","-5.5"
"161","-5.0","-5.0"
"162","-5.0","-4.5"
"163","-5.0","-4.0"
"164","-5.0","-3.5"
"165","-5.0","-3.0"
"166","-5.0","-2.5"
"167","-5.0","-2.0"
"168","-5.0","-1.5"
"169","-5.0","-1.0"
"170","-5.0","-0.5"
"171","-5.0","0.0"
"172","-5.0","0.5"
"173","-5.0","1.0"
"174","-5.0","1.5"
"175","-5.0","2.0"
"176","-5.0","2.5"
"177","-5.0","3.0"
"178","-5.0","3.5"
"179","-5.0","4.0"
"180","-5.0","4.5"
"181","-5.0","5.0"
"182","-5.0","5.5"
"183","-5.0","6.0"
"184","-5.0","6.5"
"185","-5.0","7.0"
"186","-5.0","7.5"
"187","-4.5","-7.5"
"188","-4.5","-7.0"
"189","-4.5","-6.5"
"190","-4.5","-6.0"
"191","-4.5","-5.5"
"192","-4.5","-5.0"
"193","-4.5","-4.5"
"194","-4.5","-4.0"
"195","-4.5","-3.5"
"196","-4.5","-3.0"
"197","-4.5","-2.5"
"198","-4.5","-2.0"
"199","-4.5","-1.5"
"200","-4.5","-1.0"
"201","-4.5","-0.5"
"202","-4.5","0.0"
"203","-4.5","0.5"
"204","-4.5","1.0"
