"U_0 [eV]","-35.883128"

"Q_1 [amu^1/2 A]","U(Q_1) [eV]","dU(Q_1) [meV]","Q_2 [amu^1/2 A]","U(Q_2) [eV]","dU(Q_2) [meV]"
"-20.0","-35.369050999999999","514.07700000000034","-20.0","-35.808579999999999","74.548000000000059"
"-19.0","-35.461744000000003","421.38399999999621","-19.0","-35.828383000000002","54.744999999996935"
"-18.0","-35.542985999999999","340.14200000000017","-18.0","-35.844951000000002","38.176999999997463"
"-17.0","-35.613425999999997","269.70200000000233","-17.0","-35.858539999999998","24.588000000001387"
"-16.0","-35.673717000000003","209.41099999999579","-16.0","-35.869441999999999","13.685999999999865"
"-15.0","-35.724581000000001","158.54699999999866","-15.0","-35.877938999999998","5.1890000000014425"
"-14.0","-35.766787000000001","116.34099999999847","-14.0","-35.884304","-1.1760000000009541"
"-13.0","-35.801071999999998","82.056000000001461","-13.0","-35.888812999999999","-5.6849999999997181"
"-12.0","-35.828265999999999","54.861999999999966","-12.0","-35.891731999999998","-8.6039999999982797"
"-11.0","-35.849181999999999","33.946000000000254","-11.0","-35.893320000000003","-10.192000000003532"
"-10.0","-35.864620000000002","18.507999999997082","-10.0","-35.893827000000002","-10.699000000002457"
"-9.0","-35.875411","7.7169999999995298","-9.0","-35.893490999999997","-10.362999999998124"
"-8.0","-35.882368","0.75999999999964984","-8.0","-35.892533999999998","-9.4059999999984711"
"-7.0","-35.886279000000002","-3.1510000000025684","-7.0","-35.891165999999998","-8.0379999999991014"
"-6.0","-35.887886999999999","-4.7589999999999577","-6.0","-35.889572999999999","-6.4449999999993679"
"-5.0","-35.887914000000002","-4.7860000000028435","-5.0","-35.887915","-4.7870000000003188"
"-4.0","-35.886986","-3.8580000000010273","-4.0","-35.886358999999999","-3.2309999999995398"
"-3.0","-35.885652999999998","-2.5249999999985562","-3.0","-35.885021000000002","-1.8930000000025871"
"-2.0","-35.884365000000003","-1.2370000000032633","-2.0","-35.883992999999997","-0.86499999999745114"
"-1.0","-35.883454999999998","-0.32699999999863394","-1.0","-35.883349000000003","-0.2210000000033574"
"0.0","-35.883127999999999","0.0","0.0","-35.883127999999999","0.0"
"1.0","-35.883454999999998","-0.32699999999863394","1.0","-35.883349000000003","-0.2210000000033574"
"2.0","-35.884365000000003","-1.2370000000032633","2.0","-35.883992999999997","-0.86499999999745114"
"3.0","-35.885652999999998","-2.5249999999985562","3.0","-35.885021000000002","-1.8930000000025871"
"4.0","-35.886986","-3.8580000000010273","4.0","-35.886358999999999","-3.2309999999995398"
"5.0","-35.887914000000002","-4.7860000000028435","5.0","-35.887915","-4.7870000000003188"
"6.0","-35.887886999999999","-4.7589999999999577","6.0","-35.889572999999999","-6.4449999999993679"
"7.0","-35.886279000000002","-3.1510000000025684","7.0","-35.891165999999998","-8.0379999999991014"
"8.0","-35.882368","0.75999999999964984","8.0","-35.892533999999998","-9.4059999999984711"
"9.0","-35.875411","7.7169999999995298","9.0","-35.893490999999997","-10.362999999998124"
"10.0","-35.864620000000002","18.507999999997082","10.0","-35.893827000000002","-10.699000000002457"
"11.0","-35.849181999999999","33.946000000000254","11.0","-35.893320000000003","-10.192000000003532"
"12.0","-35.828265999999999","54.861999999999966","12.0","-35.891731999999998","-8.6039999999982797"
"13.0","-35.801071999999998","82.056000000001461","13.0","-35.888812999999999","-5.6849999999997181"
"14.0","-35.766787000000001","116.34099999999847","14.0","-35.884304","-1.1760000000009541"
"15.0","-35.724581000000001","158.54699999999866","15.0","-35.877938999999998","5.1890000000014425"
"16.0","-35.673717000000003","209.41099999999579","16.0","-35.869441999999999","13.685999999999865"
"17.0","-35.613425999999997","269.70200000000233","17.0","-35.858539999999998","24.588000000001387"
"18.0","-35.542985999999999","340.14200000000017","18.0","-35.844951000000002","38.176999999997463"
"19.0","-35.461744000000003","421.38399999999621","19.0","-35.828383000000002","54.744999999996935"
"20.0","-35.369050999999999","514.07700000000034","20.0","-35.808579999999999","74.548000000000059"
