"q = (0.000, 0.000, 0.000), band = 1",""
"",""
"Modulation #","Q [amu^1/2 A"
"1","-25.0"
"2","-24.5"
"3","-24.0"
"4","-23.5"
"5","-23.0"
"6","-22.5"
"7","-22.0"
"8","-21.5"
"9","-21.0"
"10","-20.5"
"11","-20.0"
"12","-19.5"
"13","-19.0"
"14","-18.5"
"15","-18.0"
"16","-17.5"
"17","-17.0"
"18","-16.5"
"19","-16.0"
"20","-15.5"
"21","-15.0"
"22","-14.5"
"23","-14.0"
"24","-13.5"
"25","-13.0"
"26","-12.5"
"27","-12.0"
"28","-11.5"
"29","-11.0"
"30","-10.5"
"31","-10.0"
"32","-9.5"
"33","-9.0"
"34","-8.5"
"35","-8.0"
"36","-7.5"
"37","-7.0"
"38","-6.5"
"39","-6.0"
"40","-5.5"
"41","-5.0"
"42","-4.5"
"43","-4.0"
"44","-3.5"
"45","-3.0"
"46","-2.5"
"47","-2.0"
"48","-1.5"
"49","-1.0"
"50","-0.5"
"51","0.0"
"52","0.5"
"53","1.0"
"54","1.5"
"55","2.0"
"56","2.5"
"57","3.0"
"58","3.5"
"59","4.0"
"60","4.5"
"61","5.0"
"62","5.5"
"63","6.0"
"64","6.5"
"65","7.0"
"66","7.5"
"67","8.0"
"68","8.5"
"69","9.0"
"70","9.5"
"71","10.0"
"72","10.5"
"73","11.0"
"74","11.5"
"75","12.0"
"76","12.5"
"77","13.0"
"78","13.5"
"79","14.0"
"80","14.5"
"81","15.0"
"82","15.5"
"83","16.0"
"84","16.5"
"85","17.0"
"86","17.5"
"87","18.0"
"88","18.5"
"89","19.0"
"90","19.5"
"91","20.0"
"92","20.5"
"93","21.0"
"94","21.5"
"95","22.0"
"96","22.5"
"97","23.0"
"98","23.5"
"99","24.0"
"100","24.5"
"101","25.0"
