"Power","Coefficient"
"0","-3.2593987882643851e-07"
"1","2.4506083062635661e-17"
"2","-0.0026555643986729475"
"3","-2.1313502872729603e-17"
"4","0.00037068972880364222"
"5","4.0180294550695473e-18"
"6","-3.7253203144291331e-06"
"7","-3.8234684844950083e-19"
"8","5.0399261801850371e-08"
"9","2.0015301367620615e-20"
"10","-6.2632549131039566e-10"
"11","-6.0506649991067133e-22"
"12","5.6139379854604774e-12"
"13","1.0801680474596112e-23"
"14","-3.1288823476120655e-14"
"15","-1.1216372815880037e-25"
"16","8.3811653231166193e-17"
"17","6.2565129694717437e-28"
"18","1.1299853280555864e-20"
"19","-1.4483368665231606e-30"
"20","-3.9750551282082348e-22"

"Q [amu^1/2 A]","dU(Q) [eV]","dU(Q)_Fit [eV]","d_Fit [eV]","dU(Q) [meV]","dU(Q)_Fit [meV]","d_Fit [meV]"
"-10.0","1.787413000000001","1.7874129470397431","-5.2960257956868872e-08","1787.4130000000009","1787.4129470397431","-5.2960257956868872e-05"
"-9.75","1.6407859999999985","1.6407860870387034","8.7038704910114006e-08","1640.7859999999985","1640.7860870387035","8.7038704910114006e-05"
"-9.5","1.5015069999999966","1.5015074431725417","4.4317254510595205e-07","1501.5069999999967","1501.5074431725418","0.00044317254510595205"
"-9.25","1.3695299999999975","1.3695291826421987","-8.1735779877689652e-07","1369.5299999999975","1369.5291826421987","-0.00081735779877689652"
"-9.0","1.2447900000000018","1.244789299624244","-7.0037575783388206e-07","1244.7900000000018","1244.789299624244","-0.00070037575783388206"
"-8.75","1.1272090000000006","1.1272090682416371","6.8241636563826091e-08","1127.2090000000005","1127.2090682416372","6.8241636563826091e-05"
"-8.5","1.016688000000002","1.0166922427180562","4.2427180542148335e-06","1016.688000000002","1016.6922427180563","0.0042427180542148335"
"-8.25","0.91312599999999844","0.9131254331128732","-5.6688712524177731e-07","913.12599999999838","913.12543311287322","-0.00056688712524177731"
"-8.0","0.81638499999999681","0.81637906966291718","-5.9303370796293109e-06","816.38499999999681","816.37906966291723","-0.0059303370796293109"
"-7.75","0.72630900000000054","0.72630851114256401","-4.8885743653137581e-07","726.30900000000054","726.30851114256404","-0.00048885743653137581"
"-7.5","0.64275299999999902","0.64275503462354","2.0346235409807178e-06","642.75299999999902","642.75503462354004","0.0020346235409807178"
"-7.25","0.56554299999999802","0.56554660417041469","3.6041704166711597e-06","565.54299999999807","565.54660417041464","0.0036041704166711597"
"-7.0","0.49449599999999805","0.49449842923535098","2.4292353529298261e-06","494.49599999999805","494.49842923535095","0.0024292353529298261"
"-6.75","0.42941400000000129","0.42941338634075021","-6.1365925108081143e-07","429.41400000000129","429.41338634075021","-0.00061365925108081143"
"-6.5","0.37008600000000058","0.37008239806425097","-3.6019357496086535e-06","370.08600000000058","370.08239806425098","-0.0036019357496086535"
"-6.25","0.31629099999999966","0.31628485409704948","-6.145902950172033e-06","316.29099999999966","316.2848540970495","-0.006145902950172033"
"-6.0","0.26778600000000097","0.2677891334667864","3.1334667854321374e-06","267.78600000000097","267.78913346678638","0.0031334667854321374"
"-5.75","0.22435099999999863","0.22435325624291594","2.2562429173034193e-06","224.35099999999863","224.35325624291593","0.0022562429173034193"
"-5.5","0.18572400000000044","0.18572566551580311","1.6655158026623873e-06","185.72400000000044","185.72566551580312","0.0016655158026623873"
"-5.25","0.15164899999999903","0.15164612124319909","-2.8787567999399855e-06","151.64899999999903","151.6461212431991","-0.0028787567999399855"
"-5.0","0.12183799999999678","0.12184667879321161","8.6787932148252311e-06","121.83799999999678","121.84667879321161","0.0086787932148252311"
"-4.75","0.096055999999997255","0.096052726381796003","-3.2736182012521597e-06","96.055999999997255","96.052726381796006","-0.0032736182012521597"
"-4.5","0.073987999999999943","0.073984065100945795","-3.934899054147678e-06","73.987999999999943","73.984065100945799","-0.003934899054147678"
"-4.25","0.055360999999997773","0.055356029857134295","-4.9701428634779665e-06","55.360999999997773","55.356029857134295","-0.0049701428634779665"
"-4.0","0.039876999999997054","0.039880665918617449","3.6659186203949479e-06","39.876999999997054","39.880665918617446","0.0036659186203949479"
"-3.75","0.027265999999997348","0.027267990689359766","1.9906893624181687e-06","27.265999999997348","27.267990689359767","0.0019906893624181687"
"-3.5","0.017226999999998327","0.01722738110952831","3.8110952998299252e-07","17.226999999998327","17.227381109528309","0.00038110952998299252"
"-3.25","0.0094700000000003115","0.0094691318359682915","-8.6816403201996073e-07","9.4700000000003115","9.469131835968291","-0.00086816403201996073"
"-3.0","0.0037069999999985725","0.0037062270928392678","-7.7290715930471848e-07","3.7069999999985725","3.706227092839268","-0.00077290715930471848"
"-2.75","-0.00034300000000087039","-0.00034364027447832932","-6.4027447745893017e-07","-0.34300000000087039","-0.34364027447832934","-0.00064027447745893017"
"-2.5","-0.0029579999999995721","-0.0029557847089042135","2.2152910953586111e-06","-2.9579999999995721","-2.9557847089042135","0.0022152910953586111"
"-2.25","-0.0044010000000014315","-0.0043959815935778511","5.0184064235804168e-06","-4.4010000000014315","-4.3959815935778508","0.0050184064235804168"
"-2.0","-0.0049130000000019436","-0.0049176850325684703","-4.6850325665266646e-06","-4.9130000000019436","-4.9176850325684702","-0.0046850325665266646"
