"Modulation #","E0 [eV]"
"1","-34.946848"
"2","-34.9968"
"3","-35.045086"
"4","-35.091712"
"5","-35.136695"
"6","-35.180055"
"7","-35.221824"
"8","-35.262001"
"9","-35.300616"
"10","-35.337694"
"11","-35.373258"
"12","-35.407333"
"13","-35.439941"
"14","-35.471109"
"15","-35.500864"
"16","-35.529234"
"17","-35.556255"
"18","-35.581934"
"19","-35.606312"
"20","-35.629419"
"21","-35.651282"
"22","-35.671948"
"23","-35.69142"
"24","-35.709745"
"25","-35.726953"
"26","-35.743077"
"27","-35.75815"
"28","-35.772207"
"29","-35.785279"
"30","-35.797369"
"31","-35.80858"
"32","-35.818905"
"33","-35.828383"
"34","-35.837062"
"35","-35.844951"
"36","-35.852099"
"37","-35.85854"
"38","-35.864309"
"39","-35.869442"
"40","-35.873974"
"41","-35.877939"
"42","-35.88137"
"43","-35.884304"
"44","-35.886774"
"45","-35.888813"
"46","-35.890455"
"47","-35.891732"
"48","-35.892677"
"49","-35.89332"
"50","-35.893694"
"51","-35.893827"
"52","-35.89375"
"53","-35.893491"
"54","-35.893076"
"55","-35.892534"
"56","-35.891889"
"57","-35.891166"
"58","-35.890386"
"59","-35.889573"
"60","-35.888748"
"61","-35.887915"
"62","-35.887117"
"63","-35.886359"
"64","-35.885656"
"65","-35.885021"
"66","-35.884463"
"67","-35.883993"
"68","-35.88362"
"69","-35.883349"
"70","-35.883184"
"71","-35.883128"
"72","-35.883184"
"73","-35.883349"
"74","-35.88362"
"75","-35.883993"
"76","-35.884463"
"77","-35.885021"
"78","-35.885656"
"79","-35.886359"
"80","-35.887117"
"81","-35.887915"
"82","-35.888748"
"83","-35.889573"
"84","-35.890386"
"85","-35.891166"
"86","-35.891889"
"87","-35.892534"
"88","-35.893076"
"89","-35.893491"
"90","-35.89375"
"91","-35.893827"
"92","-35.893694"
"93","-35.89332"
"94","-35.892677"
"95","-35.891732"
"96","-35.890455"
"97","-35.888813"
"98","-35.886774"
"99","-35.884304"
"100","-35.88137"
"101","-35.877939"
"102","-35.873974"
"103","-35.869442"
"104","-35.864309"
"105","-35.85854"
"106","-35.852099"
"107","-35.844951"
"108","-35.837062"
"109","-35.828383"
"110","-35.818905"
"111","-35.80858"
"112","-35.797369"
"113","-35.785279"
"114","-35.772207"
"115","-35.75815"
"116","-35.743077"
"117","-35.726953"
"118","-35.709745"
"119","-35.69142"
"120","-35.671948"
"121","-35.651282"
"122","-35.629419"
"123","-35.606312"
"124","-35.581934"
"125","-35.556255"
"126","-35.529234"
"127","-35.500864"
"128","-35.471109"
"129","-35.439941"
"130","-35.407333"
"131","-35.373259"
"132","-35.337694"
"133","-35.300616"
"134","-35.262001"
"135","-35.221825"
"136","-35.180055"
"137","-35.136695"
"138","-35.091712"
"139","-35.045086"
"140","-34.9968"
"141","-34.946848"
