"U_0 [eV]","-35.883128"

"Q [amu^1/2 A]","U(Q) [eV]","dU(Q) [meV]"
"-12.5","-34.910313","972.8149999999971"
"-12.25","-34.982164","900.9640000000019"
"-12.0","-35.050662","832.4659999999966"
"-11.75","-35.115845","767.282999999999"
"-11.5","-35.177762","705.3659999999979"
"-11.25","-35.236485","646.6429999999974"
"-11.0","-35.292048","591.0799999999981"
"-10.75","-35.344525","538.6030000000019"
"-10.5","-35.393983","489.1450000000006"
"-10.25","-35.44049","442.6380000000023"
"-10.0","-35.484119","399.0089999999995"
"-9.75","-35.524945","358.1829999999968"
"-9.5","-35.563055","320.0730000000007"
"-9.25","-35.598508","284.61999999999676"
"-9.0","-35.631399","251.72899999999743"
"-8.75","-35.66181","221.31799999999657"
"-8.5","-35.689843","193.28499999999593"
"-8.25","-35.715562","167.56600000000077"
"-8.0","-35.739069","144.0589999999986"
"-7.75","-35.760458","122.66999999999939"
"-7.5","-35.779823","103.30499999999887"
"-7.25","-35.797227","85.90099999999978"
"-7.0","-35.812835","70.2929999999995"
"-6.75","-35.826703","56.42499999999728"
"-6.5","-35.838948","44.17999999999722"
"-6.25","-35.849642","33.48599999999635"
"-6.0","-35.858898","24.229999999995755"
"-5.75","-35.866815","16.31299999999669"
"-5.5","-35.873492","9.636000000000422"
"-5.25","-35.879028","4.100000000001103"
"-5.0","-35.883519","-0.3910000000004743"
"-4.75","-35.887063","-3.9349999999984675"
"-4.5","-35.889754","-6.62600000000424"
"-4.25","-35.891685","-8.557000000003256"
"-4.0","-35.89295","-9.821999999999775"
"-3.75","-35.893635","-10.50700000000404"
"-3.5","-35.893827","-10.699000000002457"
"-3.25","-35.893611","-10.483000000000686"
"-3.0","-35.893062","-9.93400000000122"
"-2.75","-35.892259","-9.131000000003553"
"-2.5","-35.891273","-8.144999999998959"
"-2.25","-35.890167","-7.038999999998907"
"-2.0","-35.889007","-5.87900000000019"
"-1.75","-35.887833","-4.7050000000012915"
"-1.5","-35.886721","-3.593000000002178"
"-1.25","-35.885704","-2.5759999999976912"
"-1.0","-35.88482","-1.6919999999984725"
"-0.75","-35.884098","-0.9700000000023579"
"-0.5","-35.883566","-0.438000000002603"
"-0.25","-35.883239","-0.11100000000396903"
"0.0","-35.883128","0.0"
"0.25","-35.883239","-0.11100000000396903"
"0.5","-35.883566","-0.438000000002603"
"0.75","-35.884098","-0.9700000000023579"
"1.0","-35.88482","-1.6919999999984725"
"1.25","-35.885704","-2.5759999999976912"
"1.5","-35.886721","-3.593000000002178"
"1.75","-35.887833","-4.7050000000012915"
"2.0","-35.889007","-5.87900000000019"
"2.25","-35.890167","-7.038999999998907"
"2.5","-35.891273","-8.144999999998959"
"2.75","-35.892259","-9.131000000003553"
"3.0","-35.893062","-9.93400000000122"
"3.25","-35.893611","-10.483000000000686"
"3.5","-35.893827","-10.699000000002457"
"3.75","-35.893635","-10.50700000000404"
"4.0","-35.89295","-9.821999999999775"
"4.25","-35.891685","-8.557000000003256"
"4.5","-35.889754","-6.62600000000424"
"4.75","-35.887063","-3.9349999999984675"
"5.0","-35.883519","-0.3910000000004743"
"5.25","-35.879028","4.100000000001103"
"5.5","-35.873492","9.636000000000422"
"5.75","-35.866815","16.31299999999669"
"6.0","-35.858898","24.229999999995755"
"6.25","-35.849642","33.48599999999635"
"6.5","-35.838948","44.17999999999722"
"6.75","-35.826703","56.42499999999728"
"7.0","-35.812835","70.2929999999995"
"7.25","-35.797227","85.90099999999978"
"7.5","-35.779823","103.30499999999887"
"7.75","-35.760458","122.66999999999939"
"8.0","-35.739069","144.0589999999986"
"8.25","-35.715562","167.56600000000077"
"8.5","-35.689843","193.28499999999593"
"8.75","-35.66181","221.31799999999657"
"9.0","-35.631399","251.72899999999743"
"9.25","-35.598508","284.61999999999676"
"9.5","-35.563055","320.0730000000007"
"9.75","-35.524945","358.1829999999968"
"10.0","-35.484119","399.0089999999995"
"10.25","-35.44049","442.6380000000023"
"10.5","-35.393983","489.1450000000006"
"10.75","-35.344525","538.6030000000019"
"11.0","-35.292048","591.0799999999981"
"11.25","-35.236485","646.6429999999974"
"11.5","-35.177762","705.3659999999979"
"11.75","-35.115845","767.282999999999"
"12.0","-35.050662","832.4659999999966"
"12.25","-34.982164","900.9640000000019"
"12.5","-34.910313","972.8149999999971"
