# T [K]  Frequency [THz]
0  1.23076
1  1.20213
2  1.17324
3  1.14436
4  1.11547
5  1.08659
6  1.05773
7  1.02894
8  1.00038
9  0.97225
10  0.94482
11  0.91836
12  0.89312
13  0.86931
14  0.84705
15  0.82639
16  0.80734
17  0.78984
18  0.77382
19  0.75917
20  0.74578
21  0.73354
22  0.72233
23  0.71207
24  0.70264
25  0.69398
26  0.68599
27  0.67861
28  0.67179
29  0.66546
30  0.65958
31  0.65411
32  0.64902
33  0.64425
34  0.63980
35  0.63563
36  0.63172
37  0.62805
38  0.62460
39  0.62136
40  0.61830
41  0.61543
42  0.61271
43  0.61015
44  0.60774
45  0.60545
46  0.60330
47  0.60126
48  0.59933
49  0.59751
50  0.59579
60  0.58297
70  0.57588
80  0.57245
90  0.57146
100  0.57216
110  0.57405
120  0.57680
130  0.58017
140  0.58400
150  0.58817
160  0.59258
170  0.59717
180  0.60188
190  0.60668
200  0.61153
210  0.61642
220  0.62132
230  0.62621
240  0.63110
250  0.63597
260  0.64080
270  0.64561
280  0.65037
290  0.65510
300  0.65978
310  0.66442
320  0.66900
330  0.67355
340  0.67804
350  0.68249
360  0.68688
370  0.69123
380  0.69553
390  0.69978
400  0.70399
410  0.70815
420  0.71226
430  0.71632
440  0.72035
450  0.72432
460  0.72826
470  0.73215
480  0.73600
490  0.73981
500  0.74357
510  0.74730
520  0.75099
530  0.75464
540  0.75825
550  0.76183
560  0.76537
570  0.76887
580  0.77234
590  0.77578
600  0.77918
610  0.78255
620  0.78589
630  0.78919
640  0.79247
650  0.79571
660  0.79893
670  0.80211
680  0.80527
690  0.80839
700  0.81149
710  0.81457
720  0.81761
730  0.82063
740  0.82363
750  0.82660
760  0.82954
770  0.83246
780  0.83535
790  0.83822
800  0.84107
810  0.84390
820  0.84670
830  0.84948
840  0.85224
850  0.85498
860  0.85769
870  0.86039
880  0.86306
890  0.86572
900  0.86835
910  0.87097
920  0.87356
930  0.87614
940  0.87870
950  0.88124
960  0.88376
970  0.88626
980  0.88875
990  0.89122
1000  0.89367
